Entity,Day,Data
Africa,2021-03-08,20404238
Africa,2021-03-09,20475376
Africa,2021-03-10,20634534
Africa,2021-03-11,20761608
Africa,2021-03-12,21021790
Africa,2021-03-13,21269000
Africa,2021-03-14,21418072
Africa,2021-03-15,21567146
Africa,2021-03-16,21770286
Africa,2021-03-17,21936706
Africa,2021-03-18,22063908
Africa,2021-03-19,22188610
Africa,2021-03-20,22263320
Africa,2021-03-21,22313680
Africa,2021-03-22,22364318
Africa,2021-03-23,22445240
Africa,2021-03-24,22715254
Africa,2021-03-25,22957320
Africa,2021-03-26,23133290
Africa,2021-03-27,23237836
Africa,2021-03-28,23308182
Africa,2021-03-29,23377096
Africa,2021-03-30,23503166
Africa,2021-03-31,23627088
Africa,2021-04-01,23730936
Africa,2021-04-02,23811132
Africa,2021-04-03,23866244
Africa,2021-04-04,23899510
Africa,2021-04-05,23932952
Africa,2021-04-06,23979114
Africa,2021-04-07,24041408
Africa,2021-04-08,24089508
Africa,2021-04-09,24127512
Africa,2021-04-10,24167310
Africa,2021-04-11,24186820
Africa,2021-04-12,24195940
Africa,2021-04-13,24207882
Africa,2021-04-14,24226190
Africa,2021-04-15,24244102
Africa,2021-04-16,24263606
Africa,2021-04-17,24281822
Africa,2021-04-18,24296292
Africa,2021-04-19,24311984
Africa,2021-04-20,24330286
Africa,2021-04-21,24351130
Africa,2021-04-22,24368570
Africa,2021-04-23,24389672
Africa,2021-04-24,24410348
Africa,2021-04-25,24426550
Africa,2021-04-26,24443822
Africa,2021-04-27,24477136
Africa,2021-04-28,24518904
Africa,2021-04-29,24559874
Africa,2021-04-30,24588676
Africa,2021-05-01,24605672
Africa,2021-05-02,24637580
Africa,2021-05-03,24668980
Africa,2021-05-04,24756510
Africa,2021-05-05,24813372
Africa,2021-05-06,24861652
Africa,2021-05-07,24911574
Africa,2021-05-08,24967272
Africa,2021-05-09,25011328
Africa,2021-05-10,25051738
Africa,2021-05-11,25106974
Africa,2021-05-12,25184442
Africa,2021-05-13,25264244
Africa,2021-05-14,25339100
Africa,2021-05-15,25441766
Africa,2021-05-16,25508594
Africa,2021-05-17,25582968
Africa,2021-05-18,25679724
